"company","market","country","city","area","website","linkedin","instagram","email","whatsapp","decision_maker","role","source_url","pain_signal","notes","stage","last_contacted","language"
"Hamptons International","dubai","UAE","Dubai","Business Bay; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Harbour; Dubai Hills Estate; Palm Jumeirah","","","","itiriac@hamptonsuae.com","+971543339189","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/hamptons-international-t2-8011","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 3. Active properties proxy: 79. Languages: Arabic; English; French; German; Hindi; Romanian; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"DELUXXIS PROPERTIES","dubai","UAE","Dubai","Business Bay; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Harbour; Dubai Land; Dubai Marina","","","","asma@deluxxis.ae","+971503669902","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/deluxxis-properties-4932","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 80. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Bridges and Allies Real Estate Brokers","dubai","UAE","Dubai","DIFC; Downtown Dubai; Dubai Hills Estate; Zabeel","","","","ramandeep.s@bridgesandalliesre.com","+971588712596","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/bridges-and-allies-real-estate-brokers-2130","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 82. Languages: English; Hindi; Punjabi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"PLAUSIBLE REAL ESTATE L.L.C","dubai","UAE","Dubai","Arabian Ranches 3; Business Bay; Downtown Dubai; Dubai Investment Park (DIP); Dubai Land; Mudon","","","","sajidrahman188@gmail.com","+971544906816","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/plausible-real-estate-l-l-c-10596","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 3. Active properties proxy: 72. Languages: Arabic; English; Hindi; Pashto; Persian/Farsi; Punjabi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"PARAGON PROPERTIES LLC - RAK","dubai","UAE","Dubai","Al Hamra Village; Al Marjan Island","","","","daria@paragonrak.com","+971509420088","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/paragon-properties-llc-rak-7147","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 80. Languages: English; French; Mandarin; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"D K V INTERNATIONAL REAL ESTATE","dubai","UAE","Dubai","Business Bay; Downtown Dubai; Sheikh Zayed Road","","","","kavita@dkvrealestate.com","+971559764106","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/d-k-v-international-real-estate-7139","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 80. Languages: English; Hindi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"Terra Property Advisors FZ - LLC","dubai","UAE","Dubai","Al Hamra Village; Al Marjan Island; Mina Al Arab","","","","mohamad@terra-property.com","+971502869610","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/terra-property-advisors-fz-llc-5926","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 80. Languages: Arabic; English; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Better Homes - Motor City","dubai","UAE","Dubai","Al Barari; Business Bay; Dubai Harbour; Dubai Hills Estate; Dubai Science Park; Jumeirah; Jumeirah Islands; Sheikh Zayed Road; Tilal Al Ghaf; Town Square","","","","niks.degis@bhomes.com","+971545835004","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/better-homes-motor-city-3686","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 5. Active properties proxy: 59. Languages: English; Latvian; Persian/Farsi; Russian; Spanish. Recommended channel: email + manual WhatsApp.","researched","","en"
"KREST PREMIUM PROPERTIES L.L.C","dubai","UAE","Dubai","Downtown Dubai; Mohammed Bin Rashid City; Zabeel","","","","krestpremiumproperties@gmail.com","+971509090157","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/krest-premium-properties-l-l-c-v2-12928","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 76. Languages: English; Hindi. Recommended channel: email + manual WhatsApp.","researched","","en"
"ASGARD REAL ESTATE","dubai","UAE","Dubai","Dubai Land; Jumeirah Village Circle; Jumeirah Village Triangle","","","","Khaled@asgardre.com","+971585613212","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/asgard-real-estate-6260","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 114. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"AWG PROPERTIES LLC","dubai","UAE","Dubai","Downtown Dubai; Dubai Land; Sheikh Zayed Road","","","","asad.awgdubai@gmail.com","+971565461826","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/awg-properties-llc-5130","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 75. Languages: English; Hindi; Tagalog. Recommended channel: email + manual WhatsApp.","researched","","en"
"TRINITY REAL ESTATE BROKERS L.L.C","dubai","UAE","Dubai","Business Bay; Downtown Dubai; Jumeirah Village Circle","","","","hr@trinitydubai.ae","+971555861245","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/trinity-real-estate-brokers-l-l-c-9936","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 75. Languages: English; Hindi; Malayalam; Tamil; Telugu. Recommended channel: email + manual WhatsApp.","researched","","en"
"fam Real Estate Broker - Palm Jumeirah","dubai","UAE","Dubai","Al Wasl; Dubai Creek Harbour (The Lagoons); Dubai Marina; Jumeirah Beach Residence; Jumeirah Park; Palm Jebel Ali; Palm Jumeirah","","","","ryan@famproperties.com","+971569551551","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/fam-properties-branch-3-4200","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 3. Active properties proxy: 69. Languages: Arabic; English; Russian. Recommended channel: email + manual WhatsApp. Duplicate branch/brand already contacted; excluded from cold email.","do_not_contact","","en"
"Realty Real Estate","dubai","UAE","Dubai","Al Khan; Al Qasba; Al Taawun","","","","uaerealty2020@gmail.com","+971507568744","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/realty-real-estate-6555","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 79. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Al Baqa Properties LLC","dubai","UAE","Dubai","Ajman Downtown; Al Jurf Industrial; Al Nuaimiya","","","","Norel.albaqa@gmail.com","+971585908369","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-baqa-properties-llc-7130","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 78. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
"Maple and Lane Real Estate Brokers","dubai","UAE","Dubai","Arjan; Business Bay; Dubai Marina","","","","komal@mapleandlanedubai.com","+971501316281","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/maple-and-lane-real-estate-brokers-4150","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 76. Languages: English; Hindi. Recommended channel: email + manual WhatsApp.","researched","","en"
"Hadramout real estate","dubai","UAE","Dubai","Al Mowaihat; Al Yasmeen; Al Zahya","","","","hadramoutrealestate@gmail.com","+971585880014","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/hadramout-real-estate-3027","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 75. Languages: Arabic; English; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"Noronen Properties FZ-LLC","dubai","UAE","Dubai","Al Marjan Island; Tilal City; Umm Al Quwain Marina","","","","info@noronenproperties.com","+971585475540","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/noronen-properties-fz-llc-7740","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 79. Languages: English; Finnish; Russian. Recommended channel: email + manual WhatsApp.","researched","","en"
"Al Falah Real Estate LLC","dubai","UAE","Dubai","Al Khan; Al Mamzar - Sharjah; Tilal City","","","","asif.alfalah.re786@gmail.com","+971559541051","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-falah-real-estate-llc-3448","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 79. Languages: Arabic; English; Hindi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"ENGEL & VÖLKERS Dubai","dubai","UAE","Dubai","Al Marjan Island; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Marina; Emirates Hills; Palm Jumeirah","","","","ahmed.elsayed@engelvoelkers.com","+971554410966","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/engel-volkers-dubai-1742","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 66. Languages: Arabic; English. Recommended channel: email + manual WhatsApp. Duplicate branch/brand already contacted; excluded from cold email.","do_not_contact","","en"
"Edwards and Towers Real Estate Brokers","dubai","UAE","Dubai","Dubai Harbour; Dubai Hills Estate; Dubai Marina; Dubai Sports City; Jebel Ali; Jumeirah Beach Residence; Jumeirah Golf Estates; Jumeirah Village Circle; Palm Jumeirah","","","","mohamad.f@edwardsandtowers.com","+971557372200","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/edwards-and-towers-real-estate-brokers-247","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 3. Active properties proxy: 61. Languages: Arabic; English; Portuguese. Recommended channel: email + manual WhatsApp.","researched","","en"
"Banke International Properties - Al Furjan","dubai","UAE","Dubai","Al Furjan; Discovery Gardens; Dubai South (Dubai World Central); Jebel Ali; Jumeirah Park","","","","hira@banke.ae","+971566906011","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/banke-international-properties-al-furjan-9782","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 66. Languages: Arabic; English; Hindi; Urdu. Recommended channel: email + manual WhatsApp.","researched","","en"
"XESTATE PROPERTIES L.L.C","dubai","UAE","Dubai","Al Furjan; Business Bay; Meydan","","","","fawall@xestate.global","+971565490977","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/xestate-properties-l-l-c-12557","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 71. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Castles Plaza Real Estate","dubai","UAE","Dubai","Al Barari; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Marina; Jumeirah Beach Residence; Mohammed Bin Rashid City","","","","Oksana@castlesplaza.com","+971504252031","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/castles-plaza-real-estate-398","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 66. Languages: English; Hindi; Punjabi; Russian; Ukrainian. Recommended channel: email + manual WhatsApp.","researched","","en"
"ELIVA REAL ESTATE - L.L.C","dubai","UAE","Dubai","Al Reem Island; Al Shamkha; Saadiyat Island; Yas Island","","","","marketing.mohammad.ab@gmail.com","+971566001800","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/eliva-real-estate-l-l-c-10687","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 69. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"ETOILE REAL ESTATE L.L.C","dubai","UAE","Dubai","Al Alia; Al Rashidiya; Al Zorah","","","","info@dorratalmorjan.com","+971549979005","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/dorrat-al-morjan-real-estate-l-l-c-10773","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 72. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
